year,experiment,burntFractionAll,mrsos,tas,tas_smooth,mrsos_smooth,burntFractionAll_smooth
1995,historical,0.061391722826933,27.979255590654365,13.924842338951066,13.549218445276404,28.723770128304817,0.05573695190456256
1996,historical,0.0521351556470926,28.897452359108136,13.550703375058331,13.644683070966892,28.523832712079027,0.06115537111584002
1997,historical,0.0531542502237651,29.282171006623344,13.304123342642129,13.65110298997253,28.511678115877597,0.0597942454874267
1998,historical,0.04207684686343,28.71602653408748,13.706773363147931,13.657179179237872,28.473545055167026,0.06166442715576681
1999,historical,0.0699267839615921,28.743945151050763,13.25964980658256,13.696865956507306,28.581281633897802,0.06231827263770113
2000,historical,0.0882474671722273,27.524145630950077,14.122006199419332,13.722356679862935,28.611172160735485,0.060548106197760375
2001,historical,0.0516274917169468,28.438750538669,13.689622504006364,13.791089756732969,28.595347934740563,0.062453059385836916
2002,historical,0.0747556988341476,28.206613630193043,13.69971250409526,13.76259848229983,28.531573043908857,0.0646127585765615
2003,historical,0.0675490364931757,29.443174263744023,14.014360174662784,13.889949626344457,28.384150039901822,0.06682392983460128
2004,historical,0.0446166082382936,28.88018690227461,13.95177319006359,13.964556222355133,28.284843090049662,0.070526705875247
2005,historical,0.0804412547076984,27.821013330705146,14.612173107651415,14.001857204310136,28.190718679544567,0.07135565261141533
2006,historical,0.0737321475543384,28.25970345079106,13.26579063072694,13.971412200961595,28.228430724758717,0.07076912122501361
2007,historical,0.0752659628041629,27.807940966552987,14.5776347830884,14.07707356943925,28.179236391125936,0.07224833836793305
2008,historical,0.0791046072698872,27.72295703556593,14.452839323254691,14.120827749781034,28.2398785680894,0.06918739189676489
2009,historical,0.0782162513232754,27.80270104599981,13.63265962613258,14.195795736880342,28.118497132780345,0.06867097470783672
2010,historical,0.0823821533082101,27.90126608309155,13.817556165933922,14.305873737652348,27.851902711269105,0.07594701305136445
2011,historical,0.0664196631461413,27.94680720234122,14.746236188782916,14.271840474319118,27.8553348646651,0.07544765286732733
2012,historical,0.0441462341224658,28.81303539982764,14.137254307513103,14.39759670476814,27.804788791399353,0.07566209103145095
2013,historical,0.0623848646038941,28.22935991065353,14.76404004565586,14.371876979293818,27.804338480663123,0.0757186807782064
2014,historical,0.1173769916735708,26.21424268716217,15.052553197783652,14.358383255300339,27.817902054845987,0.07515435969625958
2015,ssp126,,28.085811369078584,13.986633793495912,14.588847669024494,28.017724163272554,
2016,ssp126,,27.81920734366817,14.486466557448692,14.52932082693973,28.18276376190856,
2017,ssp126,,28.911337369219485,14.955465192723524,14.617801136962798,28.14211656317873,
2018,ssp126,,26.9773117136268,15.322593353014838,14.635918198533467,28.207889932263857,
2019,ssp126,,28.29495302076975,14.193079448439503,14.717562257923184,28.020804040143588,
2020,ssp126,,29.007961755088584,14.2316866165159,14.718390264663986,27.914680525386075,
2021,ssp126,,27.898233370799744,15.148682997101218,14.87090502900178,27.96846969480574,
